"39;@riouphile OMG PETA BENCANA ID .. THANK YOU "",""1298504312893534209"","""",""riouphile"",""en"",""Jepang"",""0"",""0"",""0"",""https://x.com/ChocoPudingMeow/status/1298504312893534209"",""995974311189004288"",""ChocoPudingMeow""";
"40;@y0urhelios Sampe dinotice peta bencana id gegara geter wkwk"",""1306481323570151426"","""",""e6tences"",""in"","""",""0"",""0"",""0"",""https://x.com/mugiwarapuxi/status/1306481323570151426"",""966697491147010048"",""mugiwarapuxi""";
"41;#prayforNTT #StayStrongNTT May everything going back normal sooner please ease them in every way ya Allah @jokowi @kemendagri @BPSDMP151 @Bencana_ID"",""1378924390721540097"","""","""",""en"","""",""0"",""0"",""0"",""https://x.com/TheLameHoe/status/1378924390721540097"",""1354951287146569730"",""TheLameHoe""";
"42;@truessardi Oke akan gue tonton wkwkwk. BTW DIREPLY SAMA BENCANA ID WKWKWKKW."",""1266772594285404160"","""",""milasnodnarb"",""in"",""Any, 20. FUB free."",""0"",""0"",""0"",""https://x.com/muzoushin/status/1266772594285404160"",""1244836019129552897"",""muzoushin""";
"43;Pak @jokowi boleh minta di indonesia juga punya alert seperti ini? Cc @Bencana_ID @infoBMKG @KementerianESDM @kemkominfo"",""1360738019343409152"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/nadelia/status/1360738019343409152"",""171044072"",""nadelia""";
"44;@adipratamattt Ndang lpo iku mau https://t.co/Hq1jL3ylEr"",""1284128628062576640"","""",""adipratamattt"",""in"",""Bumi"",""0"",""1"",""0"",""https://x.com/Sputro5/status/1284128628062576640"",""1131211081341292544"",""Sputro5""";
"45;@urmoonjinnies @vkookfess Anjir di reply sama peta/bencana/id "",""1458000430609305600"","""",""urmoonjinnies"",""in"","""",""0"",""1"",""0"",""https://x.com/Black7857/status/1458000430609305600"",""1383383024193064960"",""Black7857""";
"46;@petabencana peta bencana id kenapa banjir"",""1339598100252397573"","""",""petabencana"",""in"",""indonesia"",""0"",""1"",""0"",""https://x.com/exharusa/status/1339598100252397573"",""1241317955171790849"",""exharusa""";
"47;Ya Allah semoga suara #dentuman yang berkali-kali terjadi di bagian Pulau Jawa (2/2) tadi malam itu sebagai pertanda baik dari MU bukan malah sebaliknya. Meski begitu kami bertawakal pada Mu. @BPBDJakarta @BPBDJabar @bpbd_jatim @BPBDDIY @Bencana_ID @palangmerah @RadioElshinta"",""1356750292860108804"","""","""",""in"",""Bekasi Selatan, Indonesia"",""0"",""0"",""0"",""https://x.com/SudionoTambun/status/1356750292860108804"",""1656405156"",""SudionoTambun""";
"48;Narasumber : 1) Supari PH.D (BMKG) 2) Sudarwito ST. MT (BPBD Kota Batu) 3) Yos Malole (Founder Cari https://t.co/X21ocrjG5C) Waktu Pelaksanaan Hari/Tanggal: Sabtu 27 November 2021 Waktu: 09.00 - selesai Tempat: Zoom Meeting Fasilitas : E-Certificate Webinar Nasional"",""1463852643361587200"","""",""podcastasap_id"",""in"","""",""0"",""1"",""3"",""https://x.com/podcastasap_id/status/1463852643361587200"",""1370574720857350144"",""podcastasap_id""";
"49;@KhoirilAnwar_ @KEBUMENinLOVE @INDONESIAinLOVE @Bencana_ID @kabargeologi @Vulcano_Game @AndreasSolusi @alextham878 @AnugrahrizkyFFD @AntiPekines @fahiraidris @gibran_tweet Ya mas ..."",""1663911219885924353"","""",""KhoirilAnwar_"",""es"",""Kebumen, Indonesia"",""0"",""0"",""0"",""https://x.com/bengkeldodo/status/1663911219885924353"",""576755999"",""bengkeldodo""";
"50;@AndreasSolusi @KhoirilAnwar_ @KEBUMENinLOVE @INDONESIAinLOVE @Bencana_ID @kabargeologi @Vulcano_Game @alextham878 @AnugrahrizkyFFD @AntiPekines @fahiraidris @gibran_tweet siap 26 jam"",""1663911762675085316"","""",""AndreasSolusi"",""in"",""Kebumen, Indonesia"",""0"",""1"",""0"",""https://x.com/bengkeldodo/status/1663911762675085316"",""576755999"",""bengkeldodo""";
"51;depan lobby Mall mkg3 #Banjirkelapagading #BanjirJakarta2020 #kompastv #peta https://t.co/1jVKKtDM7O #CNNisFAKEnews https://t.co/LlaEj4awRE"",""1232177578691059712"",""https://pbs.twimg.com/ext_tw_video_thumb/1232177448206254082/pu/img/M_lY5rKTPwKPPpPo.jpg"","""",""in"",""Jakarta Pusat, DKI Jakarta"",""0"",""0"",""0"",""https://x.com/ChefTable15/status/1232177578691059712"",""1231071707592441856"",""ChefTable15""";
